timestamp,camera,cars,motorbikes,buses,trucks,avg_speed_kmh
2026-02-05 10:57:00,cibadak_bogor,11,32,0,9,0.92
2026-02-05 10:58:00,cibadak_bogor,21,111,0,13,0.94
2026-02-05 10:59:00,cibadak_bogor,32,13,0,5,0.9
2026-02-05 11:00:00,cibadak_bogor,20,58,0,8,0.97
2026-02-05 11:01:00,cibadak_bogor,28,24,18,25,0.84
2026-02-05 11:02:00,cibadak_bogor,18,4,0,6,0.94
2026-02-05 11:03:00,cibadak_bogor,34,23,0,22,0.95
2026-02-05 11:17:00,cibadak_bogor,21,25,0,5,1.09
2026-02-05 11:18:00,cibadak_bogor,22,21,3,9,1.06
2026-02-05 11:19:00,cibadak_bogor,37,29,0,9,1.04
2026-02-05 11:20:00,cibadak_bogor,26,24,0,4,0.9
2026-02-05 11:21:00,cibadak_bogor,31,8,0,10,0.89
2026-02-05 11:22:00,cibadak_bogor,28,22,0,18,1.0
2026-02-05 11:23:00,cibadak_bogor,44,73,0,14,1.01
2026-02-05 11:24:00,cibadak_bogor,29,65,1,14,1.0
2026-02-05 11:25:00,cibadak_bogor,16,35,0,3,1.01
2026-02-05 11:26:00,cibadak_bogor,38,44,4,27,0.96
2026-02-05 11:27:00,cibadak_bogor,31,19,3,20,0.98
2026-02-05 11:28:00,cibadak_bogor,37,36,0,12,0.96
2026-02-05 11:29:00,cibadak_bogor,37,41,0,15,1.01
2026-02-05 11:30:00,cibadak_bogor,19,18,1,7,0.99
2026-02-05 11:31:00,cibadak_bogor,27,83,1,16,1.01
2026-02-05 11:32:00,cibadak_bogor,28,53,0,10,0.97
2026-02-05 11:33:00,cibadak_bogor,35,13,0,7,0.86
2026-02-05 11:34:00,cibadak_bogor,46,37,3,25,1.02
2026-02-05 11:35:00,cibadak_bogor,33,31,0,1,1.02
2026-02-05 11:36:00,cibadak_bogor,33,64,1,13,0.96
2026-02-05 11:37:00,cibadak_bogor,35,22,0,10,0.95
2026-02-05 11:38:00,cibadak_bogor,26,20,0,6,0.94
2026-02-05 11:39:00,cibadak_bogor,30,45,6,23,0.95
2026-02-05 11:40:00,cibadak_bogor,37,43,2,11,1.02
2026-02-05 11:41:00,cibadak_bogor,32,123,1,17,0.99
2026-02-05 11:42:00,cibadak_bogor,26,30,0,6,0.96
2026-02-05 11:43:00,cibadak_bogor,24,14,0,3,0.86
2026-02-05 11:44:00,cibadak_bogor,31,72,0,16,1.06
2026-02-05 11:45:00,cibadak_bogor,26,10,0,3,1.0
2026-02-05 11:46:00,cibadak_bogor,18,63,0,5,1.06
2026-02-05 11:47:00,cibadak_bogor,20,17,0,1,0.94
2026-02-05 11:48:00,cibadak_bogor,10,19,0,12,1.09
2026-02-05 11:49:00,cibadak_bogor,31,26,0,17,1.01
2026-02-05 11:50:00,cibadak_bogor,8,4,0,2,0.0
2026-02-05 11:51:00,cibadak_bogor,35,31,2,16,0.99
2026-02-05 11:52:00,cibadak_bogor,38,13,3,22,0.91
2026-02-05 11:53:00,cibadak_bogor,15,14,0,9,0.93
2026-02-05 11:54:00,cibadak_bogor,27,71,0,19,0.91
2026-02-05 11:55:00,cibadak_bogor,12,29,4,12,0.97
2026-02-05 12:01:00,cibadak_bogor,4,6,0,5,1.0
2026-02-05 12:02:00,cibadak_bogor,20,18,0,15,1.02
2026-02-05 12:03:00,cibadak_bogor,17,48,0,12,1.09
2026-02-05 12:14:00,cibadak_bogor,9,126,1,17,0.96
2026-02-05 15:54:00,cibadak_bogor,6,94,0,3,1.11
2026-02-05 15:55:00,cibadak_bogor,37,145,1,19,1.01
