timestamp,camera,cars,motorbikes,buses,trucks,avg_speed_kmh
2026-02-05 10:57:00,depok_sp_jatijajar,45,56,1,13,0.95
2026-02-05 10:58:00,depok_sp_jatijajar,42,88,0,13,0.92
2026-02-05 10:59:00,depok_sp_jatijajar,18,42,4,8,0.98
2026-02-05 11:00:00,depok_sp_jatijajar,11,0,2,4,0.59
2026-02-05 11:01:00,depok_sp_jatijajar,12,0,2,7,0.67
2026-02-05 11:02:00,depok_sp_jatijajar,13,5,0,5,0.75
2026-02-05 11:03:00,depok_sp_jatijajar,22,4,0,18,0.83
2026-02-05 11:17:00,depok_sp_jatijajar,38,72,0,7,1.0
2026-02-05 11:18:00,depok_sp_jatijajar,34,60,1,10,0.95
2026-02-05 11:19:00,depok_sp_jatijajar,30,144,0,6,1.0
2026-02-05 11:20:00,depok_sp_jatijajar,27,76,0,11,1.02
2026-02-05 11:21:00,depok_sp_jatijajar,34,46,1,10,1.09
2026-02-05 11:22:00,depok_sp_jatijajar,60,33,0,4,1.2
2026-02-05 11:23:00,depok_sp_jatijajar,38,49,0,5,1.07
2026-02-05 11:24:00,depok_sp_jatijajar,52,50,1,9,1.02
2026-02-05 11:25:00,depok_sp_jatijajar,59,60,7,14,1.13
2026-02-05 11:26:00,depok_sp_jatijajar,47,32,13,19,0.92
2026-02-05 11:27:00,depok_sp_jatijajar,60,10,5,25,1.06
2026-02-05 11:28:00,depok_sp_jatijajar,38,37,6,45,0.93
2026-02-05 11:29:00,depok_sp_jatijajar,59,19,5,24,0.96
2026-02-05 11:30:00,depok_sp_jatijajar,30,8,0,14,1.04
2026-02-05 11:31:00,depok_sp_jatijajar,23,1,0,5,1.12
2026-02-05 11:32:00,depok_sp_jatijajar,43,54,2,30,0.98
2026-02-05 11:33:00,depok_sp_jatijajar,23,19,0,7,0.86
2026-02-05 11:34:00,depok_sp_jatijajar,32,69,1,10,1.1
2026-02-05 11:35:00,depok_sp_jatijajar,23,112,0,6,1.18
2026-02-05 11:36:00,depok_sp_jatijajar,21,128,0,5,1.07
2026-02-05 11:37:00,depok_sp_jatijajar,32,199,0,7,1.15
2026-02-05 11:38:00,depok_sp_jatijajar,45,107,0,7,1.13
2026-02-05 11:39:00,depok_sp_jatijajar,37,138,0,6,1.14
2026-02-05 11:40:00,depok_sp_jatijajar,43,71,2,21,1.07
2026-02-05 11:41:00,depok_sp_jatijajar,43,44,7,18,1.03
2026-02-05 11:42:00,depok_sp_jatijajar,41,35,12,24,0.84
2026-02-05 11:43:00,depok_sp_jatijajar,24,57,3,6,0.86
2026-02-05 11:44:00,depok_sp_jatijajar,26,21,1,10,0.88
2026-02-05 11:45:00,depok_sp_jatijajar,26,25,0,16,0.97
2026-02-05 11:46:00,depok_sp_jatijajar,22,108,1,10,1.05
2026-02-05 11:47:00,depok_sp_jatijajar,48,59,2,10,1.07
2026-02-05 11:48:00,depok_sp_jatijajar,20,86,0,5,1.05
2026-02-05 11:49:00,depok_sp_jatijajar,40,60,0,9,1.01
2026-02-05 11:50:00,depok_sp_jatijajar,5,1,0,1,0.0
2026-02-05 11:51:00,depok_sp_jatijajar,32,6,3,5,0.97
2026-02-05 11:52:00,depok_sp_jatijajar,19,22,0,1,1.04
2026-02-05 11:53:00,depok_sp_jatijajar,40,28,2,6,1.11
2026-02-05 11:54:00,depok_sp_jatijajar,30,56,1,27,0.97
2026-02-05 11:55:00,depok_sp_jatijajar,24,40,7,4,1.01
2026-02-05 12:01:00,depok_sp_jatijajar,10,14,0,0,0.9
2026-02-05 12:02:00,depok_sp_jatijajar,24,122,1,14,1.06
2026-02-05 12:03:00,depok_sp_jatijajar,36,42,3,9,1.01
