timestamp,camera,cars,motorbikes,buses,trucks,avg_speed_kmh
2026-02-04 20:32:00,jl_djuanda,35,3,1,0,0.45
2026-02-04 20:32:00,jl_djuanda,19,1,2,0,0.26
2026-02-04 20:34:00,jl_djuanda,6,0,1,0,0.0
2026-02-04 20:40:00,jl_djuanda,8,0,0,0,0.34
2026-02-04 20:41:00,jl_djuanda,24,1,3,0,0.35
2026-02-04 20:42:00,jl_djuanda,19,1,0,0,0.3
2026-02-04 20:52:00,jl_djuanda,15,3,0,0,0.6
2026-02-04 20:55:00,jl_djuanda,19,1,0,0,0.19
2026-02-04 20:56:00,jl_djuanda,20,1,1,0,0.41
2026-02-04 20:57:00,jl_djuanda,24,8,2,0,0.37
2026-02-04 20:58:00,jl_djuanda,25,7,0,2,0.39
2026-02-04 20:59:00,jl_djuanda,27,13,0,2,0.3
2026-02-04 21:01:00,jl_djuanda,8,3,0,0,0.0
2026-02-04 21:02:00,jl_djuanda,15,10,0,0,0.51
2026-02-04 21:03:00,jl_djuanda,20,11,0,3,0.44
2026-02-04 21:04:00,jl_djuanda,19,7,0,1,0.34
2026-02-04 21:05:00,jl_djuanda,22,15,0,0,0.45
2026-02-04 21:06:00,jl_djuanda,27,7,0,2,0.45
2026-02-04 21:07:00,jl_djuanda,24,5,0,0,0.47
2026-02-04 21:08:00,jl_djuanda,16,9,0,0,0.27
2026-02-04 21:09:00,jl_djuanda,27,6,0,0,0.34
2026-02-04 21:10:00,jl_djuanda,29,8,0,2,0.52
2026-02-04 21:11:00,jl_djuanda,22,7,0,5,0.51
2026-02-04 21:12:00,jl_djuanda,14,4,0,1,0.57
2026-02-04 21:13:00,jl_djuanda,15,8,0,0,0.42
2026-02-04 21:14:00,jl_djuanda,11,13,2,1,0.44
2026-02-04 21:15:00,jl_djuanda,20,18,0,4,0.47
2026-02-04 21:16:00,jl_djuanda,17,19,0,0,0.64
2026-02-04 21:17:00,jl_djuanda,12,11,0,0,0.45
2026-02-04 21:18:00,jl_djuanda,18,9,0,1,0.46
2026-02-04 21:19:00,jl_djuanda,12,9,0,2,0.46
2026-02-04 21:20:00,jl_djuanda,21,10,0,0,0.74
